Soil Moisture,Temperature,Soil Humidity,Status
5,27,28,ON
1,10,56,ON
2,40,43,ON
63,35,30,OFF
17,39,38,ON
33,19,26,OFF
21,6,67,ON
84,29,36,ON
35,28,23,ON
81,4,35,OFF
44,41,22,ON
53,6,68,ON
25,18,66,ON
22,28,38,ON
57,44,44,ON
15,25,67,ON
33,23,25,OFF
20,25,54,OFF
52,13,62,OFF
47,2,56,OFF
63,40,63,OFF
48,11,21,OFF
15,34,31,ON
87,37,37,ON
30,27,70,ON
89,31,69,OFF
28,1,42,OFF
87,1,52,OFF
41,23,67,ON
58,42,68,ON
73,10,23,OFF
84,2,57,OFF
90,19,64,ON
90,44,44,OFF
29,35,34,ON
65,5,35,OFF
70,0,37,OFF
70,32,51,ON
6,8,59,OFF
86,1,50,OFF
90,17,22,OFF
22,32,67,ON
7,24,35,ON
73,32,48,OFF
78,23,29,OFF
26,26,22,ON
2,28,70,OFF
48,5,34,ON
31,45,67,ON
4,7,56,ON
71,22,64,OFF
74,6,47,OFF
58,20,31,OFF
76,3,70,OFF
78,36,44,OFF
5,14,41,ON
8,32,38,OFF
31,6,40,OFF
30,34,53,ON
58,25,37,ON
28,9,66,ON
19,16,32,OFF
26,15,45,ON
51,37,65,ON
4,45,67,OFF
80,25,63,OFF
68,24,45,OFF
8,9,41,OFF
53,35,21,ON
79,32,66,OFF
68,5,63,OFF
76,37,59,OFF
34,18,38,ON
28,0,66,OFF
62,36,25,ON
88,27,54,ON
1,23,39,ON
25,0,48,OFF
40,2,46,ON
77,22,58,OFF
66,22,48,ON
52,21,36,ON
84,34,37,OFF
26,7,39,ON
38,34,40,ON
48,24,68,ON
12,20,43,OFF
51,0,46,OFF
83,26,36,ON
64,3,57,OFF
35,10,69,ON
81,17,53,OFF
47,15,28,OFF
18,40,38,ON
54,40,39,ON
60,18,43,ON
20,38,63,ON
39,16,20,OFF
19,17,51,ON
61,16,50,OFF
40,28,52,ON
37,4,30,OFF
61,14,61,OFF
70,8,43,OFF
40,43,68,ON
84,6,33,ON
60,30,58,ON
5,29,37,OFF
8,25,66,ON
58,44,52,ON
1,27,69,ON
65,7,35,OFF
50,35,65,OFF
2,15,65,OFF
28,17,57,OFF
56,13,43,ON
35,29,55,OFF
16,8,57,ON
90,7,62,OFF
33,44,29,ON
40,38,58,ON
75,15,56,OFF
43,41,51,ON
87,15,54,OFF
90,44,29,OFF
67,27,30,ON
83,24,46,ON
85,12,41,ON
62,23,47,OFF
88,38,46,OFF
10,30,70,ON
20,39,50,OFF
62,12,51,OFF
50,26,28,OFF
35,45,64,ON
83,20,53,OFF
5,0,61,OFF
27,12,57,OFF
34,21,37,ON
32,3,58,OFF
30,28,31,OFF
63,8,20,OFF
61,20,54,OFF
60,36,22,ON
54,24,41,ON
71,26,24,OFF
14,45,54,ON
39,15,21,ON
40,37,62,ON
50,1,41,OFF
73,9,34,OFF
37,41,34,ON
43,0,66,OFF
76,29,44,OFF
53,36,42,OFF
71,9,55,OFF
26,9,65,ON
12,41,36,ON
67,13,35,OFF
17,45,53,ON
26,38,70,ON
78,39,34,ON
30,27,57,OFF
20,5,38,ON
79,28,61,OFF
40,17,42,ON
10,11,53,ON
84,8,55,OFF
11,8,32,OFF
63,28,38,OFF
40,2,40,OFF
33,37,34,ON
75,11,64,OFF
24,30,57,ON
65,15,53,OFF
35,25,46,OFF
44,15,33,ON
39,1,45,OFF
13,35,24,ON
20,45,59,OFF
82,0,65,OFF
72,5,53,OFF
56,30,36,ON
14,44,26,OFF
25,10,57,ON
13,6,52,ON
43,43,37,OFF
62,1,66,OFF
56,36,47,ON
60,10,25,OFF
89,7,56,OFF
46,23,23,ON
8,29,32,ON
13,10,41,ON
55,35,35,ON
65,27,44,ON
34,33,66,ON
55,17,35,ON
32,10,40,ON
60,38,47,ON
80,21,48,OFF
22,16,39,OFF
2,21,51,ON
31,8,26,OFF
59,11,50,OFF
27,6,53,OFF
42,40,54,OFF
19,31,68,ON
37,43,41,ON
17,16,47,ON
42,22,62,ON
90,39,46,ON
27,9,35,OFF
12,1,40,OFF
26,13,43,ON
35,19,52,OFF
84,45,36,ON
44,43,66,OFF
90,28,63,OFF
6,15,40,ON
70,23,53,OFF
76,18,26,OFF
7,3,61,ON
87,12,58,OFF
86,33,61,ON
64,28,46,ON
15,38,53,ON
18,44,32,ON
50,24,29,OFF
36,11,50,OFF
81,32,46,ON
66,38,22,OFF
86,4,66,OFF
5,0,69,OFF
85,28,61,OFF
14,12,41,ON
32,34,45,ON
3,42,23,ON
20,19,46,ON
53,12,68,ON
9,34,47,ON
6,32,26,ON
79,8,47,OFF
76,39,27,ON
77,23,27,OFF
63,45,37,OFF
3,5,42,OFF
40,3,20,OFF
31,20,34,OFF
90,5,49,OFF
8,27,37,ON
37,1,22,OFF
22,4,65,ON
70,30,60,OFF
84,32,29,OFF
29,39,53,OFF
18,15,33,OFF
82,11,25,OFF
86,29,48,ON
12,21,32,OFF
64,11,32,ON
16,20,32,ON
47,9,31,OFF
51,16,70,ON
5,5,23,ON
90,19,56,OFF
32,0,25,OFF
16,22,70,ON
42,30,52,OFF
86,32,50,OFF
86,9,69,OFF
80,3,34,OFF
58,43,58,ON
90,37,40,ON
78,44,70,ON
38,26,24,ON
39,23,45,ON
9,8,31,OFF
73,37,22,OFF
77,0,50,OFF
16,17,61,OFF
56,37,55,ON
8,4,37,ON
27,45,20,OFF
29,8,68,ON
17,10,64,ON
60,43,48,ON
20,15,40,ON
82,43,39,OFF
59,25,61,OFF
46,13,56,OFF
35,37,30,ON
67,39,60,ON
76,37,46,ON
2,45,59,ON
20,30,21,OFF
36,29,39,ON
86,24,42,OFF
7,5,44,OFF
82,34,64,OFF
20,27,27,ON
65,27,34,OFF
32,11,53,OFF
72,7,32,ON
73,44,39,ON
8,32,48,ON
7,31,39,ON
58,17,60,OFF
68,12,25,OFF
65,37,58,OFF
31,37,29,ON
54,42,44,ON
12,32,56,OFF
78,37,54,ON
72,16,30,OFF
17,33,69,ON
11,41,23,OFF
64,9,26,OFF
72,44,24,OFF
22,18,57,OFF
36,38,31,ON
18,17,40,OFF
84,42,67,ON
21,45,55,ON
56,20,33,ON
73,4,67,ON
79,21,63,OFF
56,27,25,ON
82,43,59,ON
77,42,42,OFF
79,16,58,OFF
10,44,38,ON
57,6,28,OFF
68,17,62,OFF
46,1,58,OFF
83,16,31,OFF
26,23,60,OFF
78,24,45,ON
7,29,48,ON
48,2,52,OFF
34,0,33,OFF
48,3,36,OFF
5,27,29,ON
15,36,37,ON
48,2,59,OFF
48,41,21,ON
74,24,25,OFF
10,42,35,OFF
23,0,58,OFF
35,3,53,OFF
74,3,42,OFF
17,16,57,OFF
37,4,31,OFF
77,6,59,OFF
44,2,53,OFF
62,8,55,OFF
70,24,41,OFF
19,2,27,ON
9,44,66,ON
50,35,37,ON
65,41,63,ON
9,24,20,ON
42,10,35,ON
22,17,69,ON
57,17,55,ON
25,44,25,OFF
25,34,51,ON
16,16,52,OFF
79,45,27,OFF
84,7,25,OFF
2,31,29,ON
33,26,28,OFF
80,29,31,OFF
86,34,36,ON
30,24,60,OFF
86,27,46,OFF
1,18,37,ON
45,7,26,ON
53,6,20,OFF
39,34,34,ON
2,20,24,ON
50,23,24,OFF
41,5,60,ON
76,7,25,OFF
11,7,30,ON
59,5,44,OFF
80,43,33,OFF
21,36,35,ON
37,16,25,OFF
20,35,59,ON
74,7,43,OFF
52,19,34,ON
17,26,66,ON
20,37,45,ON
31,2,22,OFF
5,43,23,ON
61,1,32,ON
70,35,29,ON
62,28,39,ON
55,40,33,ON
65,14,56,ON
83,33,59,OFF
52,7,47,ON
40,44,58,ON
87,0,69,OFF
77,17,20,OFF
74,7,50,OFF
36,14,55,OFF
3,1,32,OFF
12,42,53,ON
54,26,33,ON
32,45,54,OFF
28,24,37,ON
89,41,57,ON
60,21,59,OFF
55,19,29,OFF
85,35,27,ON
80,38,64,ON
74,32,20,OFF
24,5,66,ON
29,43,60,ON
49,41,31,ON
43,18,39,ON
5,28,62,ON
71,14,67,ON
49,24,45,ON
40,10,32,OFF
21,23,28,OFF
17,11,40,ON
13,31,35,ON
59,28,32,ON
63,38,35,OFF
82,26,58,OFF
75,12,25,OFF
57,31,66,ON
83,21,62,OFF
39,45,61,ON
65,23,23,ON
54,38,63,ON
10,28,61,OFF
8,27,53,ON
28,29,47,OFF
19,33,31,ON
70,28,24,ON
31,12,32,ON
83,22,61,OFF
6,41,56,OFF
29,11,29,ON
72,24,46,OFF
14,27,60,ON
31,23,70,ON
7,17,57,OFF
34,11,25,OFF
39,9,57,OFF
88,15,52,OFF
12,44,42,ON
90,29,53,ON
26,22,35,ON
11,27,25,ON
74,17,23,OFF
71,15,23,OFF
43,43,32,ON
84,32,34,OFF
44,19,31,OFF
42,24,20,ON
20,37,57,ON
36,17,22,OFF
26,2,32,ON
20,44,55,OFF
11,41,21,ON
49,19,47,OFF
49,16,25,ON
39,37,33,ON
83,32,22,ON
40,34,55,ON
2,25,22,ON
85,24,25,OFF
35,20,61,ON
36,32,60,ON
75,31,44,OFF
71,12,33,OFF
81,28,37,ON
18,36,49,ON
21,25,46,ON
46,19,42,OFF
60,25,40,OFF
12,28,32,OFF
13,0,60,ON
82,11,20,OFF
27,41,59,ON
9,2,62,ON
62,7,68,ON
82,31,30,OFF
51,35,52,ON
61,0,53,OFF
89,12,34,OFF
56,5,39,OFF
13,37,28,ON
19,38,51,ON
90,22,27,OFF
60,41,20,OFF
39,7,56,OFF
72,15,43,ON
90,37,57,OFF
44,34,36,ON
73,19,42,OFF
71,27,69,ON
55,36,47,OFF
70,7,39,OFF
35,25,66,ON
25,33,45,ON
26,14,61,ON
53,36,24,ON
86,3,51,OFF
2,5,65,OFF
28,21,48,ON
15,37,53,ON
36,17,62,OFF
35,34,34,ON
54,22,59,ON
72,25,50,OFF
86,44,48,ON
34,14,37,ON
36,29,54,OFF
55,23,70,ON
42,7,34,ON
28,40,44,ON
44,37,46,ON
5,28,30,ON
42,9,56,OFF
81,15,22,OFF
4,33,53,OFF
63,28,21,ON
3,26,20,ON
88,41,64,OFF
10,40,53,ON
35,24,35,ON
19,23,36,ON
70,9,39,ON
34,37,38,ON
61,41,64,ON
40,38,58,ON
70,32,64,OFF
26,37,65,ON
31,24,48,ON
74,2,43,OFF
30,25,53,ON
47,2,33,ON
14,8,51,OFF
88,41,45,OFF
52,7,66,ON
66,2,58,OFF
44,23,60,ON
74,1,49,OFF
89,29,40,OFF
32,29,54,OFF
33,8,59,OFF
55,28,44,ON
5,35,30,ON
84,5,33,ON
30,27,34,OFF
81,12,48,OFF
66,37,50,ON
56,40,33,ON
89,44,68,ON
43,14,41,ON
52,45,26,ON
40,24,32,OFF
35,43,67,ON
65,14,28,OFF
30,37,30,OFF
63,41,43,ON
58,25,68,ON
45,41,49,ON
19,28,55,ON
2,13,43,OFF
37,3,62,OFF
71,34,38,ON
30,19,55,OFF
55,19,70,OFF
6,21,49,ON
74,0,58,OFF
8,6,57,OFF
21,36,49,OFF
66,24,61,OFF
88,24,42,OFF
66,36,50,OFF
61,25,31,OFF
81,31,43,ON
53,4,42,OFF
57,36,27,ON
12,9,29,ON
84,38,48,OFF
68,7,49,OFF
1,8,63,OFF
65,29,67,ON
48,5,45,OFF
67,8,26,OFF
71,28,43,OFF
51,25,34,ON
30,35,51,OFF
2,22,46,ON
37,30,63,OFF
43,37,32,OFF
50,29,56,ON
17,3,46,ON
90,35,32,OFF
23,8,60,OFF
22,9,69,ON
37,34,66,ON
37,2,56,ON
89,25,42,OFF
38,41,37,ON
88,21,29,OFF
12,28,37,ON
48,20,49,ON
87,0,44,OFF
80,11,22,OFF
62,29,68,OFF
46,22,42,ON
88,9,57,OFF
22,11,38,ON
19,27,63,OFF
33,20,39,ON
68,40,60,ON
49,44,50,ON
6,38,25,ON
10,23,63,ON
8,1,26,ON
20,44,24,ON
39,31,20,ON
28,41,55,ON
58,17,61,ON
47,1,36,OFF
90,17,31,OFF
3,2,39,ON
88,41,30,ON
85,6,53,OFF
75,27,56,ON
38,3,30,OFF
49,3,43,ON
68,35,69,OFF
69,21,55,ON
51,43,50,ON
48,18,23,OFF
53,2,29,OFF
22,13,43,ON
15,9,69,ON
41,32,64,ON
79,31,20,OFF
33,24,58,OFF
50,31,68,ON
30,27,27,ON
46,40,63,ON
71,5,20,OFF
78,45,29,OFF
73,19,49,ON
14,4,50,OFF
59,20,51,ON
15,38,58,ON
81,21,60,OFF
54,42,63,ON
60,34,33,ON
42,1,29,OFF
49,10,35,OFF
55,27,24,ON
43,27,36,ON
48,16,42,ON
35,32,50,ON
76,17,35,OFF
20,37,47,ON
5,20,48,ON
48,4,60,OFF
53,27,23,ON
18,11,58,ON
71,24,25,OFF
7,2,62,OFF
89,22,34,OFF
85,11,23,OFF
71,41,68,OFF
85,26,30,OFF
2,37,55,OFF
29,36,52,ON
60,18,48,OFF
46,21,23,ON
89,10,51,OFF
76,20,49,OFF
72,36,23,ON
18,15,29,ON
29,9,47,OFF
56,20,45,ON
59,39,34,ON
45,42,65,ON
31,2,64,ON
2,2,28,ON
74,9,24,OFF
48,3,64,OFF
1,38,62,OFF
43,9,53,OFF
28,0,42,OFF
30,14,65,ON
20,7,37,OFF
14,40,69,ON
86,22,56,OFF
47,40,69,ON
28,44,45,ON
27,27,57,ON
84,44,32,ON
32,37,46,ON
56,27,59,ON
53,4,32,ON
79,23,67,ON
37,45,63,ON
23,29,23,ON
25,4,23,ON
43,39,46,OFF
43,33,51,ON
44,10,69,ON
69,37,47,ON
30,15,43,ON
71,21,36,ON
59,15,43,ON
54,28,50,ON
66,20,34,ON
76,6,53,OFF
13,32,40,ON
55,2,50,OFF
45,19,68,ON
60,19,34,ON
10,38,28,ON
39,24,27,OFF
67,34,39,OFF
67,31,26,OFF
9,0,49,OFF
74,0,64,OFF
43,45,35,ON
5,35,56,ON
60,42,46,OFF
22,28,25,ON
78,1,70,OFF
15,19,30,ON
63,38,48,OFF
64,15,65,OFF
79,33,45,ON
59,33,52,ON
31,44,21,ON
17,0,49,OFF
87,0,69,OFF
89,42,32,ON
66,4,25,OFF
56,24,40,ON
14,1,57,ON
19,31,63,ON
3,37,29,ON
71,31,68,ON
74,16,37,ON
21,35,57,ON
87,10,43,OFF
22,22,59,OFF
86,11,30,OFF
3,24,68,OFF
31,16,69,ON
16,32,62,ON
87,4,28,OFF
4,12,44,ON
54,30,67,ON
11,39,62,ON
41,21,23,OFF
89,27,20,OFF
2,35,23,ON
76,42,39,ON
29,6,60,OFF
9,32,29,OFF
67,27,52,OFF
78,9,68,ON
12,10,34,OFF
22,42,35,ON
40,5,65,ON
85,24,42,OFF
54,18,29,ON
76,37,28,ON
30,9,49,OFF
28,14,70,ON
33,6,31,ON
47,36,39,ON
27,42,27,ON
73,8,49,OFF
7,44,69,OFF
49,18,56,OFF
83,20,51,OFF
8,5,40,ON
85,44,31,ON
36,25,36,ON
18,38,31,ON
66,3,69,OFF
89,23,58,OFF
48,33,51,ON
57,10,37,ON
1,11,62,ON
53,23,56,OFF
37,21,34,ON
65,6,25,OFF
35,9,41,OFF
23,38,21,ON
69,15,63,OFF
45,3,41,OFF
7,45,25,ON
21,42,28,ON
36,6,41,ON
64,5,35,OFF
8,7,35,ON
59,30,41,ON
8,14,43,ON
19,42,40,ON
63,8,39,OFF
64,40,59,ON
81,39,60,OFF
3,39,20,ON
56,37,37,ON
41,31,39,ON
44,11,26,OFF
29,38,40,ON
43,6,51,ON
5,30,63,ON
2,41,38,ON
64,5,68,ON
45,40,31,OFF
68,45,49,ON
36,20,56,ON
78,32,28,ON
53,5,54,ON
53,34,35,ON
17,25,44,ON
32,36,58,OFF
39,26,59,OFF
18,35,43,ON
66,9,63,OFF
64,9,45,OFF
67,11,32,OFF
15,20,22,ON
19,11,46,ON
89,34,64,OFF
64,33,63,ON
42,32,70,ON
68,13,47,OFF
74,45,35,OFF
76,20,35,OFF
19,32,48,ON
16,19,20,OFF
41,10,22,OFF
90,13,66,OFF
3,27,55,ON
17,45,61,ON
89,31,29,ON
8,8,61,OFF
5,38,47,ON
10,1,30,ON
77,13,34,OFF
12,45,21,ON
83,30,59,ON
7,8,35,ON
57,9,33,ON
19,41,34,ON
80,18,39,OFF
77,8,28,OFF
36,35,31,ON
32,44,68,ON
60,5,28,OFF
6,10,21,OFF
42,36,56,ON
90,31,62,OFF
65,42,32,OFF
52,34,51,ON
71,19,20,OFF
32,39,35,ON
73,40,37,OFF
77,2,46,OFF
8,18,33,ON
61,12,63,ON
71,15,26,OFF
87,41,33,ON
70,33,26,ON
36,35,56,ON
15,10,36,ON
78,2,24,OFF
46,34,52,ON
41,30,21,ON
81,44,56,OFF
1,44,34,ON
83,28,67,OFF
40,40,53,ON
75,39,38,ON
35,15,64,ON
51,3,50,OFF
69,35,32,ON
87,10,55,OFF
89,10,57,OFF
31,0,27,OFF
66,15,47,OFF
48,16,22,ON
79,10,26,OFF
9,19,50,ON
52,33,64,ON
87,35,39,ON
1,24,50,OFF
48,44,32,ON
90,37,29,OFF
7,17,63,ON
59,26,27,OFF
7,3,41,ON
57,32,43,OFF
51,2,35,OFF
19,34,26,OFF
84,35,49,OFF
68,0,38,OFF
44,3,44,OFF
25,18,45,ON
37,22,48,ON
66,41,20,ON
80,20,42,OFF
9,15,43,ON
66,12,31,OFF
82,40,70,ON
36,1,46,OFF
55,31,63,OFF
82,21,61,OFF
55,45,50,ON
32,28,46,ON
90,14,28,OFF
65,21,24,OFF
71,43,53,OFF
3,25,63,ON
24,36,67,ON
15,16,63,ON
77,28,33,ON
82,38,49,OFF
1,36,51,ON
51,41,50,ON
10,39,66,ON
89,28,35,OFF
54,24,52,ON
70,17,25,OFF
71,38,44,OFF
59,34,48,ON
71,41,51,OFF
10,24,21,ON
65,8,30,OFF
68,7,70,OFF
54,40,64,OFF
49,26,41,ON
54,18,22,OFF
12,25,61,OFF
30,18,53,OFF
50,15,65,OFF
7,41,66,ON
16,33,59,ON
73,22,51,OFF
77,38,45,OFF
7,45,66,ON
52,36,26,ON
57,26,50,ON
9,45,28,ON
63,45,63,ON
1,31,54,OFF
9,30,35,ON
17,29,64,ON
44,28,56,OFF
89,38,52,OFF
64,16,41,ON
14,12,36,ON
13,14,21,ON
52,31,52,ON
57,18,31,OFF
7,39,60,ON
39,21,49,ON
78,35,21,OFF
47,20,41,ON
62,22,33,ON
13,28,31,ON
80,35,61,ON
32,16,28,ON
90,17,38,ON
75,24,21,OFF
10,14,39,OFF
55,13,44,ON
73,0,23,OFF
29,43,22,ON
24,22,40,ON
30,26,67,ON
19,28,34,ON
29,21,48,ON
42,44,22,ON
31,6,43,OFF
48,42,45,OFF
62,43,26,OFF
12,13,63,OFF
85,27,40,OFF
9,18,23,ON
45,45,28,ON
86,11,40,OFF
47,16,67,ON
45,9,50,OFF
60,21,38,OFF
77,12,62,OFF
56,15,60,ON
8,37,20,ON
8,23,26,ON
35,32,22,ON
6,36,55,ON
72,27,66,OFF
8,43,51,ON
76,18,26,OFF
34,8,29,OFF
63,43,22,ON
14,3,65,ON
74,9,35,ON
41,6,26,ON
90,22,53,OFF
44,6,28,OFF
12,33,27,ON
13,18,53,ON
21,29,67,ON
69,27,69,ON
60,33,49,ON
84,16,42,ON
21,45,33,ON
62,34,21,OFF
67,19,21,OFF
69,36,42,OFF
55,9,54,OFF
78,37,60,OFF
30,37,49,ON
67,43,68,OFF
58,40,44,OFF
66,24,34,ON
70,31,64,OFF
2,9,29,OFF
20,12,29,OFF
79,4,69,OFF
80,37,54,ON
72,5,27,OFF
60,34,42,OFF
16,6,26,OFF
9,29,56,ON
39,22,22,ON
83,45,50,ON
39,13,69,ON
55,30,63,OFF
24,43,35,ON
69,2,35,OFF
62,45,62,ON
18,16,21,OFF
35,17,29,ON
59,16,51,OFF
30,33,61,ON
37,8,55,OFF
51,14,47,ON
42,36,56,ON
57,38,45,ON
61,18,31,OFF
68,3,59,OFF
21,13,68,ON
43,16,35,ON
6,5,54,ON
66,6,27,OFF
87,23,25,OFF
18,39,34,OFF
67,28,40,OFF
79,2,49,OFF
42,38,24,ON
11,12,53,ON
9,44,70,ON
21,18,26,OFF
57,7,32,ON
52,36,55,ON
89,28,65,ON
1,22,58,ON
77,13,49,OFF
85,19,42,OFF
38,32,28,ON
9,0,21,OFF
10,0,43,OFF
27,17,57,OFF
31,5,41,ON
24,17,70,ON
6,33,64,ON
67,29,23,ON
46,44,37,ON
3,25,48,ON
12,35,29,ON
73,21,26,OFF
74,32,47,OFF
72,37,69,OFF
87,13,64,OFF
1,26,29,ON
69,14,39,OFF
29,32,30,OFF
25,3,41,OFF
86,7,50,OFF
44,25,69,OFF
20,6,26,ON
70,20,52,OFF
38,29,22,ON
81,7,66,OFF
45,10,37,ON
35,23,39,ON
73,8,20,OFF
85,16,56,OFF
33,42,70,ON
52,35,65,ON
26,36,25,ON
41,1,34,OFF
83,39,30,ON
13,6,45,ON
52,24,47,ON
37,0,34,OFF
75,17,58,OFF
72,36,31,ON
46,2,48,ON
66,41,53,ON
39,32,39,OFF
57,8,40,OFF
31,4,57,OFF
72,28,44,OFF
36,43,27,ON
73,34,59,ON
5,37,69,ON
9,30,49,OFF
29,23,26,ON
45,34,37,ON
48,17,55,OFF
14,27,53,OFF
7,6,56,OFF
13,29,65,ON
70,27,31,OFF
35,4,33,ON
86,31,47,OFF
13,7,60,OFF
8,16,32,ON
42,7,69,ON
69,30,49,ON
20,26,42,ON
52,3,45,OFF
71,41,28,ON
63,14,25,OFF
4,20,69,ON
60,26,29,OFF
54,27,48,ON
83,15,22,OFF
27,6,20,OFF
35,17,70,ON
37,44,42,ON
12,37,35,ON
24,16,58,OFF
55,30,57,OFF
21,0,49,OFF
28,18,61,ON
12,42,29,ON
70,7,21,OFF
10,12,54,ON
32,9,24,ON
36,28,26,ON
36,14,59,ON
40,12,32,ON
81,38,20,ON
60,15,22,OFF
63,36,60,OFF
52,13,62,ON
12,8,27,OFF
31,0,67,OFF
70,30,70,ON
77,31,35,OFF
65,18,62,OFF
42,14,23,ON
79,43,39,OFF
84,6,59,OFF
52,21,38,ON
58,12,67,ON
65,34,69,ON
49,25,66,ON
32,39,68,ON
1,11,67,ON
4,11,38,ON
30,45,60,ON
67,43,21,OFF
89,19,49,ON
63,28,44,ON
24,33,20,OFF
70,6,52,OFF
37,23,37,OFF
45,30,52,ON
65,34,44,OFF
1,44,37,ON
88,22,69,ON
63,37,28,ON
9,23,46,ON
56,33,40,OFF
20,5,61,ON
14,11,66,ON
80,31,30,ON
72,44,23,ON
86,25,48,OFF
29,38,47,OFF
61,11,43,OFF
70,18,31,OFF
24,3,54,OFF
8,11,69,ON
63,21,29,OFF
63,7,60,OFF
21,36,25,OFF
70,19,64,OFF
46,42,29,OFF
63,34,52,ON
66,32,67,OFF
90,42,51,ON
44,33,30,OFF
73,4,58,OFF
7,35,60,ON
4,23,67,ON
59,28,70,ON
58,14,51,OFF
1,10,66,ON
5,36,28,ON
87,2,47,OFF
34,24,48,OFF
27,0,32,OFF
41,39,28,ON
39,23,22,ON
4,45,21,ON
3,5,21,ON
35,13,26,OFF
82,12,67,OFF
90,33,34,OFF
5,31,61,ON
90,40,62,ON
42,15,21,OFF
54,14,40,ON
41,17,20,ON
46,43,31,ON
68,11,52,OFF
57,10,49,OFF
21,8,53,OFF
49,4,44,OFF
16,9,44,OFF
64,14,37,ON
32,34,27,ON
28,5,48,ON
45,27,29,OFF
14,45,34,OFF
35,25,23,ON
1,27,41,OFF
90,13,53,OFF
69,25,52,OFF
86,42,24,ON
60,35,44,OFF
4,15,56,OFF
41,3,28,ON
72,43,51,ON
50,32,57,OFF
40,8,42,OFF
45,19,42,ON
17,11,26,ON
26,4,41,OFF
84,31,50,OFF
86,19,70,OFF
19,27,41,ON
58,3,69,ON
60,35,21,ON
25,34,49,ON
8,26,57,ON
90,44,69,OFF
86,15,59,OFF
26,10,25,OFF
14,19,35,ON
54,32,23,ON
6,12,43,ON
46,29,52,ON
12,22,44,ON
76,16,43,ON
7,23,44,OFF
76,37,61,ON
30,20,45,OFF
36,36,25,ON
19,33,43,ON
48,36,55,OFF
88,25,28,OFF
55,37,25,ON
13,41,48,ON
12,8,29,ON
80,20,37,ON
90,31,55,OFF
75,28,24,ON
55,12,41,ON
81,38,34,ON
79,33,58,ON
71,14,24,OFF
83,8,47,OFF
38,10,38,ON
44,0,62,OFF
11,34,35,ON
51,27,31,ON
88,6,60,OFF
13,8,30,ON
14,41,54,ON
26,5,38,ON
23,26,26,OFF
28,44,28,ON
47,29,31,OFF
22,8,41,OFF
85,18,42,ON
21,12,33,ON
89,33,69,OFF
34,18,69,ON
22,19,22,OFF
84,18,26,OFF
69,15,61,OFF
85,1,68,OFF
77,22,57,OFF
90,2,41,OFF
54,6,52,OFF
41,33,25,ON
3,19,61,OFF
35,42,64,ON
51,28,46,ON
28,24,35,ON
76,19,60,OFF
29,30,38,ON
33,39,21,ON
71,17,65,ON
48,4,64,ON
83,6,53,OFF
64,17,24,OFF
19,11,55,ON
16,15,51,ON
70,36,37,OFF
80,0,61,OFF
8,8,42,OFF
61,44,51,OFF
30,39,67,ON
24,26,54,ON
69,28,50,ON
60,36,32,OFF
37,4,51,OFF
35,45,60,ON
13,22,70,ON
4,6,39,OFF
30,27,32,ON
55,18,65,OFF
69,23,53,OFF
22,26,32,ON
88,26,66,ON
47,33,24,OFF
